Date,Param,soilDeep,soilShallow,vpdCanopy,vpdUnderstory,ET,PAR,SWL,TWL,GPP,NEE,Reco,Rsoil,Rstem,Isoprene,Monoterpenes,Hexanal,Soil_isoprene,Soil_monoterpene
2019-09-02,mean,-0.058,-0.01,1.5942578154,0.3014960142,3.1463062705,80274.3,NA,0.23002,11.74236458,-4.717430474,7.0249341015,NA,NA,NA,NA,NA,NA,NA
2019-09-02,sd,0.043,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-03,mean,-0.055,-0.01,2.863629617,0.3617495994,2.3754847936,85268,1.7155446717,0.2327,8.77110169,-0.280919211,8.4901824793,NA,NA,NA,NA,NA,NA,NA
2019-09-03,sd,0.041,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-04,mean,-0.058,-0.012,2.3193082841,0.4173000994,3.1635608198,102892.2,NA,0.26247000000000004,11.46967998,-2.997982963,8.4716970185,NA,NA,NA,NA,NA,NA,NA
2019-09-04,sd,0.043,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-05,mean,-0.058,-0.014,3.0754683947,0.4630830282,3.1634927906,89106,2.1782422374,0.25866,10.46458817,-2.955710007,7.508878166,NA,NA,NA,NA,NA,NA,NA
2019-09-05,sd,0.043,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-06,mean,-0.057,-0.016,1.7265811313,0.3493010139,2.4758094449,72144.5,NA,0.21338,11.73905363,-4.155808263,7.5832453704,NA,NA,NA,NA,NA,NA,NA
2019-09-06,sd,0.043,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-07,mean,-0.057,-0.018,2.4426572035,0.3552821835,2.4271337375,95845.5,2.2304148184,0.23472,11.54697054,-3.953983718,7.5929868209,NA,NA,NA,NA,NA,NA,NA
2019-09-07,sd,0.043,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-08,mean,-0.057,-0.02,2.4534591551,0.4029215565,2.940902709,96726.9,2.180319416,0.23624,11.60488334,-4.109099134,7.4957842082,NA,NA,NA,NA,NA,NA,NA
2019-09-08,sd,0.043,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-09,mean,-0.058,-0.022,1.8350897796,0.3379280418,2.8304114148,102315.2,NA,0.26237,12.26850563,-4.23866421,8.0298414183,NA,NA,NA,NA,NA,NA,NA
2019-09-09,sd,0.043,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-10,mean,-0.052,-0.023,2.2797140638,0.3828941968,2.154178984,105794.3,2.5897860687,0.24442,11.41868571,-2.909723684,8.508962021,NA,NA,NA,NA,NA,NA,NA
2019-09-10,sd,0.039,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
