Date,Group,d2H,TWC
11/20/19,Drought-tolerant canopy,-31.307541,67.62459783
11/20/19,Drought-sensitive canopy,-20.51100925,55.29293013
11/20/19,Drought-tolerant understory,-50.59066943,NA
11/20/19,Drought-sensitive understory,11.1529619,34.99232156
11/21/19,Drought-tolerant canopy,-31.43257945,67.46216746
11/21/19,Drought-sensitive canopy,-20.62556052,55.21246013
11/21/19,Drought-tolerant understory,-51.09924482,NA
11/21/19,Drought-sensitive understory,11.68875734,34.98286225
11/22/19,Drought-tolerant canopy,-31.57265603,67.35703751
11/22/19,Drought-sensitive canopy,-20.83123956,54.17903484
11/22/19,Drought-tolerant understory,-51.56009077,NA
11/22/19,Drought-sensitive understory,12.30056594,34.88596242
11/23/19,Drought-tolerant canopy,-31.728543,67.1855726
11/23/19,Drought-sensitive canopy,-21.08751133,52.21090748
11/23/19,Drought-tolerant understory,-51.95265248,NA
11/23/19,Drought-sensitive understory,12.93824603,34.74760727
11/24/19,Drought-tolerant canopy,-31.89903825,66.78476235
11/24/19,Drought-sensitive canopy,-21.39868104,51.52504869
11/24/19,Drought-tolerant understory,-52.28026623,NA
11/24/19,Drought-sensitive understory,13.61471318,34.72798706
11/25/19,Drought-tolerant canopy,-32.08283493,67.74553186
11/25/19,Drought-sensitive canopy,-21.76912755,51.42045086
11/25/19,Drought-tolerant understory,-52.56151671,NA
11/25/19,Drought-sensitive understory,14.34298432,34.51454701
11/26/19,Drought-tolerant canopy,-32.28108067,67.5591081
11/26/19,Drought-sensitive canopy,-22.20322973,50.8741005
11/26/19,Drought-tolerant understory,-52.79317447,NA
11/26/19,Drought-sensitive understory,15.12742205,34.43224449
11/27/19,Drought-tolerant canopy,-32.49492694,68.59406329
11/27/19,Drought-sensitive canopy,-22.69879641,50.63228232
11/27/19,Drought-tolerant understory,-52.97196991,NA
11/27/19,Drought-sensitive understory,15.96078398,34.3179532
11/28/19,Drought-tolerant canopy,-32.72552521,67.68650962
11/28/19,Drought-sensitive canopy,-23.2513184,51.11648955
11/28/19,Drought-tolerant understory,-53.09463343,NA
11/28/19,Drought-sensitive understory,16.84029948,34.32942827
11/29/19,Drought-tolerant canopy,-32.97476111,68.15534764
11/29/19,Drought-sensitive canopy,-23.86334317,50.83986874
11/29/19,Drought-tolerant understory,-53.15405445,NA
11/29/19,Drought-sensitive understory,17.76320971,34.15957117
11/30/19,Drought-tolerant canopy,-33.2425903,67.70580662
11/30/19,Drought-sensitive canopy,-24.53970422,50.46209542
11/30/19,Drought-tolerant understory,-53.15002073,NA
11/30/19,Drought-sensitive understory,18.72675585,34.22049811
12/1/19,Drought-tolerant canopy,-33.52694516,68.08254633
12/1/19,Drought-sensitive canopy,-25.28000056,49.86630406
12/1/19,Drought-tolerant understory,-53.09110092,NA
12/1/19,Drought-sensitive understory,19.72817905,34.04145625
12/2/19,Drought-tolerant canopy,-33.82575578,68.40367019
12/2/19,Drought-sensitive canopy,-26.07798351,50.02377636
12/2/19,Drought-tolerant understory,-52.98587437,NA
12/2/19,Drought-sensitive understory,20.76472049,33.88263514
12/3/19,Drought-tolerant canopy,-39.12464593,67.95684616
12/3/19,Drought-sensitive canopy,9.146572504,51.85726248
12/3/19,Drought-tolerant understory,-52.83816425,NA
12/3/19,Drought-sensitive understory,21.15620504,33.81659331
12/4/19,Drought-tolerant canopy,-44.42353608,67.39537004
12/4/19,Drought-sensitive canopy,44.37112852,55.25694837
12/4/19,Drought-tolerant understory,-52.69045413,NA
12/4/19,Drought-sensitive understory,21.54768958,33.78277434
12/5/19,Drought-tolerant canopy,-41.38077168,67.32894712
12/5/19,Drought-sensitive canopy,93.51531378,56.81929346
12/5/19,Drought-tolerant understory,-48.87948296,NA
12/5/19,Drought-sensitive understory,24.97857954,33.67850551
12/6/19,Drought-tolerant canopy,-38.31486207,67.08069956
12/6/19,Drought-sensitive canopy,138.4184966,58.38424671
12/6/19,Drought-tolerant understory,-45.4232056,NA
12/6/19,Drought-sensitive understory,28.29828916,33.5889711
12/7/19,Drought-tolerant canopy,-35.22555296,66.99879349
12/7/19,Drought-sensitive canopy,178.7596999,59.16277898
12/7/19,Drought-tolerant understory,-42.32973771,NA
12/7/19,Drought-sensitive understory,31.5255942,33.53075916
12/8/19,Drought-tolerant canopy,-32.11259006,67.00822445
12/8/19,Drought-sensitive canopy,214.2179465,60.64412638
12/8/19,Drought-tolerant understory,-39.61270159,NA
12/8/19,Drought-sensitive understory,34.67927043,33.51081863
12/9/19,Drought-tolerant canopy,-28.98265134,67.83637254
12/9/19,Drought-sensitive canopy,244.620937,62.4667697
12/9/19,Drought-tolerant understory,-37.27246177,NA
