DOY_Cont,Label,Depth,SM_%
323,SM_Depth_1,0.05,14.1
323,SM_Depth_2,0.1,13.7
323,SM_Depth_3,0.2,11.8
323,SM_Depth_4,0.5,11.2
323,SM_Depth_5,1,9.8
323,SM_Depth_7,2.5,4.8
323,SM_Depth_6,2,7.3
323,SM_Depth_8,2.7,5.4
323,SM_Depth_9,3,11.3
323.01041667,SM_Depth_1,0.05,14.1
323.01041667,SM_Depth_2,0.1,13.7
323.01041667,SM_Depth_3,0.2,11.8
323.01041667,SM_Depth_4,0.5,11.2
323.01041667,SM_Depth_5,1,9.8
323.01041667,SM_Depth_7,2.5,4.8
323.01041667,SM_Depth_6,2,7.3
323.01041667,SM_Depth_8,2.7,5.4
323.01041667,SM_Depth_9,3,11.3
323.02083333,SM_Depth_1,0.05,14.1
323.02083333,SM_Depth_2,0.1,13.7
323.02083333,SM_Depth_3,0.2,11.8
323.02083333,SM_Depth_4,0.5,11.2
323.02083333,SM_Depth_5,1,9.8
323.02083333,SM_Depth_7,2.5,4.8
323.02083333,SM_Depth_6,2,7.3
323.02083333,SM_Depth_8,2.7,5.4
323.02083333,SM_Depth_9,3,11.3
323.03125,SM_Depth_1,0.05,14.1
323.03125,SM_Depth_2,0.1,13.7
323.03125,SM_Depth_3,0.2,11.8
323.03125,SM_Depth_4,0.5,11.2
323.03125,SM_Depth_5,1,9.8
323.03125,SM_Depth_7,2.5,4.8
323.03125,SM_Depth_6,2,7.3
323.03125,SM_Depth_8,2.7,5.4
323.03125,SM_Depth_9,3,11.3
323.04166667,SM_Depth_1,0.05,14.2
323.04166667,SM_Depth_2,0.1,13.7
323.04166667,SM_Depth_3,0.2,11.8
323.04166667,SM_Depth_4,0.5,11.2
323.04166667,SM_Depth_5,1,9.8
323.04166667,SM_Depth_7,2.5,4.8
323.04166667,SM_Depth_6,2,7.3
323.04166667,SM_Depth_8,2.7,5.4
323.04166667,SM_Depth_9,3,11.3
323.05208333,SM_Depth_1,0.05,14.1
323.05208333,SM_Depth_2,0.1,13.7
323.05208333,SM_Depth_3,0.2,11.8
323.05208333,SM_Depth_4,0.5,11.2
323.05208333,SM_Depth_5,1,9.8
323.05208333,SM_Depth_7,2.5,4.8
323.05208333,SM_Depth_6,2,7.3
323.05208333,SM_Depth_8,2.7,5.4
323.05208333,SM_Depth_9,3,11.3
323.0625,SM_Depth_1,0.05,14.1
323.0625,SM_Depth_2,0.1,13.7
