drel,Campaign,d13C
-20.9120833333333,ambient,NA
-20.9092013888889,ambient,NA
-20.9089699074074,ambient,NA
-20.8649074074074,ambient,NA
-20.8227777777778,ambient,NA
-20.7799652777778,ambient,NA
-20.7399421296296,ambient,NA
-20.698275462963,ambient,NA
-20.6565740740741,ambient,NA
-20.5732523148148,ambient,NA
-20.5233912037037,ambient,NA
-20.5040740740741,ambient,NA
-20.5039467592593,ambient,NA
-20.4920949074074,ambient,NA
-20.4712615740741,ambient,NA
-20.4504166666667,ambient,NA
-20.4295833333333,ambient,NA
-20.4087384259259,ambient,NA
-20.3819791666667,ambient,NA
-20.3819097222222,ambient,NA
-20.3649305555556,ambient,NA
-20.3440972222222,ambient,NA
-20.3232523148148,ambient,NA
-20.3024074074074,ambient,NA
-20.2815856481481,ambient,NA
-20.2607407407407,ambient,NA
-20.2399074074074,ambient,NA
-20.2190856481481,ambient,NA
-20.1982523148148,ambient,NA
-20.1774189814815,ambient,NA
-20.1565856481481,ambient,NA
-20.1357523148148,ambient,NA
-20.1149305555556,ambient,NA
-20.0940740740741,ambient,NA
-20.0732523148148,ambient,NA
-20.0524305555556,ambient,NA
-20.0315856481481,ambient,NA
-20.0107638888889,ambient,NA
-19.9899189814815,ambient,NA
-19.9690856481481,ambient,NA
-19.9482523148148,ambient,NA
-19.9271759259259,ambient,NA
-19.9065856481481,ambient,NA
-19.8857523148148,ambient,NA
-19.8649305555556,ambient,NA
-19.8440972222222,ambient,NA
-19.6976041666667,ambient,NA
-19.678125,ambient,NA
-19.6769791666667,ambient,NA
-19.6758912037037,ambient,NA
-19.6748842592593,ambient,NA
-19.5728125,ambient,NA
-19.5657175925926,ambient,NA
-19.5315972222222,ambient,NA
-19.4899305555556,ambient,NA
-19.4482523148148,ambient,NA
-19.4065856481481,ambient,NA
-19.3649305555556,ambient,NA
-19.3232638888889,ambient,NA
-19.2399189814815,ambient,NA
-19.1982638888889,ambient,NA
-19.1565856481481,ambient,NA
-19.1149305555556,ambient,NA
-19.0732523148148,ambient,NA
-19.0315972222222,ambient,NA
-18.9899189814815,ambient,NA
-18.9482638888889,ambient,NA
-18.9065972222222,ambient,NA
-18.8232638888889,ambient,NA
-18.7815972222222,ambient,NA
-18.7399305555556,ambient,NA
-18.6982638888889,ambient,NA
-18.6149189814815,ambient,NA
-18.5732638888889,ambient,NA
-18.5315972222222,ambient,NA
-18.4899421296296,ambient,NA
-18.4482523148148,ambient,NA
-18.4065972222222,ambient,NA
-18.3649189814815,ambient,NA
-18.3232523148148,ambient,NA
-18.2815856481481,ambient,NA
-18.2399189814815,ambient,NA
-18.1982638888889,ambient,NA
-18.1565972222222,ambient,NA
-18.1149189814815,ambient,NA
-18.0732523148148,ambient,NA
-18.0315856481481,ambient,NA
-17.9065856481481,ambient,NA
-17.8649189814815,ambient,NA
-17.8232523148148,ambient,NA
-17.7815972222222,ambient,NA
-17.7399305555556,ambient,NA
-17.6982638888889,ambient,NA
-17.6565740740741,ambient,NA
-17.573275462963,ambient,NA
-17.5315856481481,ambient,NA
-17.4899305555556,ambient,NA
-17.4482638888889,ambient,NA
-17.4065972222222,ambient,NA
-17.3649189814815,ambient,NA
-17.2815972222222,ambient,NA
-17.2399189814815,ambient,NA
-17.1982638888889,ambient,NA
-17.1566087962963,ambient,NA
-17.1149189814815,ambient,NA
-17.0732523148148,ambient,NA
-17.0315972222222,ambient,-10.252645349723807
-16.9899189814815,ambient,-7.96784864351739
-16.5315856481481,ambient,NA
-16.4899305555556,ambient,NA
-16.4482638888889,ambient,-11.464314378111983
-16.4065972222222,ambient,-11.692508590433723
-16.3649305555556,ambient,-12.0265033489618
-16.2815856481481,ambient,NA
-16.2399305555556,ambient,NA
-16.1982523148148,ambient,NA
-16.1565856481481,ambient,NA
-16.1149189814815,ambient,NA
-16.0732638888889,ambient,NA
-15.5732638888889,ambient,-7.183810052886207
-15.5315972222222,ambient,-8.622986711856573
-15.4899189814815,ambient,-9.471926796995689
