drel,Campaign,Depth,d13C_avg,d13C_sem,Compartment,Strata,Strategy
-6,drought,0-15,-26.77601923076923,0.3834524032551241,root,NA,NA
-4,ambient,0-15,-28.05155235769231,0.3628066620956813,root,NA,NA
4,ambient,0-15,-27.51225,0.418396053150202,root,NA,NA
6,drought,0-15,-26.311015625,0.5425117819711144,root,NA,NA
11,ambient,0-15,-27.1770080425,0.22815381498279247,root,NA,NA
12,drought,0-15,-25.772421875,0.23745808563121334,root,NA,NA
17,drought,0-15,-26.2960625,0.2685101502387759,root,NA,NA
-1,ambient,NA,-27.990971715110167,0.8346995214236625,leaf,canopy,sensitive
-1,ambient,NA,-28.16872989656662,0.7652565142341299,leaf,canopy,tolerant
-1,ambient,NA,-31.70784219530237,1.3412422393022718,leaf,understory,sensitive
-1,ambient,NA,-31.762439792480972,0.847556823320558,leaf,understory,tolerant
0,ambient,NA,-6.73626436371932,6.349745506162607,leaf,canopy,sensitive
0,ambient,NA,-17.290540310915187,2.505171935373636,leaf,canopy,tolerant
0,ambient,NA,-0.7542575846290047,12.158776867177789,leaf,understory,sensitive
0,ambient,NA,-21.780128955376767,0.21004164881908594,leaf,understory,tolerant
1,ambient,NA,-22.30678211874913,1.6152206646930294,leaf,canopy,sensitive
1,ambient,NA,-23.175057600163,0.9990980942243446,leaf,canopy,tolerant
1,ambient,NA,-18.10240721519618,3.640099651363921,leaf,understory,sensitive
1,ambient,NA,-27.978683583609104,0.04974052143017004,leaf,understory,tolerant
3,ambient,NA,-24.239508993608347,2.6215083211186703,leaf,canopy,sensitive
3,ambient,NA,-25.654811038591006,0.779745215655128,leaf,canopy,tolerant
3,ambient,NA,-26.298914831122552,0.6921477070245303,leaf,understory,sensitive
3,ambient,NA,-28.900023187455062,0.6657168885188485,leaf,understory,tolerant
5,ambient,NA,-25.551033847289833,0.9333172446718216,leaf,canopy,sensitive
5,ambient,NA,-23.749632661088036,2.282726972667925,leaf,canopy,tolerant
5,ambient,NA,-25.926431621242894,NA,leaf,understory,sensitive
5,ambient,NA,-29.707666281689505,1.2038429831270465,leaf,understory,tolerant
-1,drought,NA,-27.129793456327963,0.840597508808235,leaf,canopy,sensitive
-1,drought,NA,-28.001835231131615,0.7600922922045465,leaf,canopy,tolerant
-1,drought,NA,-22.666707134359005,3.7527734924013454,leaf,understory,sensitive
-1,drought,NA,-29.72764730572967,0.03100953163488107,leaf,understory,tolerant
0,drought,NA,-10.23392598139446,5.403153394453,leaf,canopy,sensitive
0,drought,NA,-4.2437392182543725,6.233427580127404,leaf,canopy,tolerant
0,drought,NA,26.151932412039287,15.428523563267323,leaf,understory,sensitive
0,drought,NA,-13.436644194383675,12.46859815880979,leaf,understory,tolerant
1,drought,NA,-15.507512632943136,2.2065772887354638,leaf,canopy,sensitive
1,drought,NA,-18.860700528688813,3.3784308582765497,leaf,canopy,tolerant
1,drought,NA,-1.5541588753971975,7.835627711411751,leaf,understory,sensitive
1,drought,NA,-25.081191937075403,0.22796556601302773,leaf,understory,tolerant
3,drought,NA,-17.82079671926382,3.3684924623060617,leaf,canopy,sensitive
3,drought,NA,-23.387136657445616,1.0165822342662547,leaf,canopy,tolerant
3,drought,NA,-9.100976772036386,6.326370417016273,leaf,understory,sensitive
3,drought,NA,-26.603208548483625,0.2933707072578713,leaf,understory,tolerant
5,drought,NA,-21.13273336269525,2.0473659980638015,leaf,canopy,sensitive
5,drought,NA,-24.474733766493678,1.2995299328192804,leaf,canopy,tolerant
5,drought,NA,-12.780557124164782,5.239424175431909,leaf,understory,sensitive
5,drought,NA,-27.81668256507398,0.12537308982522077,leaf,understory,tolerant
