drel,Strata,Strategy,Campaign,d13C_avg,d13C_sem
-1.5,canopy,sensitive,ambient,4.182165131094877,22.79292443569842
-0.5,canopy,sensitive,ambient,-11.294928132321875,10.884416118884374
0.5,canopy,sensitive,ambient,126.12347031397286,95.51764037658265
1.5,canopy,sensitive,ambient,42.49075551691726,0.45396113821310985
2.5,canopy,sensitive,ambient,21.59645922757177,11.622353483055026
3.5,canopy,sensitive,ambient,15.82286775826978,9.25424833480762
4.5,canopy,sensitive,ambient,-15.513207946056882,7.983207795940715
5.5,canopy,sensitive,ambient,32.2970313615092,66.9739469311487
6.5,canopy,sensitive,ambient,-8.101616924425393,3.532646777760241
7.5,canopy,sensitive,ambient,-18.98258907169685,6.238663759411149
8.5,canopy,sensitive,ambient,-16.55779495370558,15.474487535277614
9.5,canopy,sensitive,ambient,-18.3109193700678,17.445272296922603
10.5,canopy,sensitive,ambient,-25.386299452264723,4.583299766169427
11.5,canopy,sensitive,ambient,-18.810583272634,2.9340962060612004
12.5,canopy,sensitive,ambient,-23.063889464591785,2.6087333085706135
13.5,canopy,sensitive,ambient,-19.44810343935486,1.44202947692696
14.5,canopy,sensitive,ambient,-17.504922784807125,1.3972797254058766
15.5,canopy,sensitive,ambient,-24.402006072648668,4.4579592776878325
16.5,canopy,sensitive,ambient,11.893743521829771,36.022184399497185
17.5,canopy,sensitive,ambient,-23.853758687443403,3.7630955786365994
18.5,canopy,sensitive,ambient,-11.753263727372687,14.567614808279112
19.5,canopy,sensitive,ambient,-26.771534698359684,1.5373229605135172
20.5,canopy,sensitive,ambient,-39.671928216530034,NA
21.5,canopy,sensitive,ambient,-19.994592054136202,NA
22.5,canopy,sensitive,ambient,-24.4617900684567,NA
23.5,canopy,sensitive,ambient,75.00640722813247,103.93539531090967
24.5,canopy,sensitive,ambient,112.26644774554381,127.02581581918052
25.5,canopy,sensitive,ambient,87.31417563154123,106.1995476422042
26.5,canopy,sensitive,ambient,-23.978757187923584,2.212864155841965
27.5,canopy,sensitive,ambient,-28.73578176973989,0.6863939227817433
28.5,canopy,sensitive,ambient,-23.092893605661793,6.814260744488956
29.5,canopy,sensitive,ambient,-34.617504987814726,20.106485865575074
-1.5,canopy,tolerant,ambient,-16.334437482608553,11.332948792938199
-0.5,canopy,tolerant,ambient,-4.063419794046187,10.948644445028846
0.5,canopy,tolerant,ambient,186.4615164532702,63.35002209850256
1.5,canopy,tolerant,ambient,67.87949405112158,7.955502334456553
2.5,canopy,tolerant,ambient,17.30062961504129,20.542468649055074
