drel,Strata,Strategy,Campaign,d13C_avg,d13C_sem
0,canopy,sensitive,ambient,-25.104307970162147,0.6410832256841507
0,canopy,tolerant,ambient,-23.578259589512747,0.7556601190370659
1,canopy,sensitive,ambient,-24.121019085279656,0.9339899219696698
1,canopy,tolerant,ambient,-23.46218829140899,0.9174599852086778
2,canopy,sensitive,ambient,-19.227483356581967,2.4832315819722512
2,canopy,tolerant,ambient,-21.721421056399397,1.2299038547849934
3,canopy,sensitive,ambient,-15.753627228065193,3.0873131162567398
3,canopy,tolerant,ambient,-16.632245722479972,2.901941129593099
4,canopy,sensitive,ambient,-14.303887387057294,2.6633408921601487
4,canopy,tolerant,ambient,-13.145221935905749,5.66136907100134
5,canopy,sensitive,ambient,-14.141685638368946,2.4518371614304013
5,canopy,tolerant,ambient,-12.570143799478872,5.942258463202524
6,canopy,sensitive,ambient,-14.034720257423313,2.405968080351874
6,canopy,tolerant,ambient,-13.301469466450333,5.014345448073718
7,canopy,sensitive,ambient,-14.149880072069179,2.7202646607918997
7,canopy,tolerant,ambient,-14.422449320341379,3.6887968718850317
8,canopy,sensitive,ambient,-14.296983633121018,2.809900964531248
8,canopy,tolerant,ambient,-15.23200723139967,3.031549885879412
9,canopy,sensitive,ambient,-15.212734504362974,2.3394247748447565
9,canopy,tolerant,ambient,-15.964878265828338,2.1998619249070135
10,canopy,sensitive,ambient,-16.255062753154338,2.228290726924808
10,canopy,tolerant,ambient,-17.055775171492403,1.3153307605961764
11,canopy,sensitive,ambient,-16.877359613419696,1.826552777626179
11,canopy,tolerant,ambient,-17.31693323606109,1.1278950484643144
12,canopy,sensitive,ambient,-17.59365181485062,1.5574742409253506
12,canopy,tolerant,ambient,-17.57659177559699,0.9024848758096018
13,canopy,sensitive,ambient,-18.17333829591057,1.4633741632506685
13,canopy,tolerant,ambient,-17.690352186535485,1.0077708288004616
14,canopy,sensitive,ambient,-18.298342605574273,1.3546835680559668
14,canopy,tolerant,ambient,-18.140602030888644,0.8182724161950894
15,canopy,sensitive,ambient,-18.860947292690792,1.2835279586824655
15,canopy,tolerant,ambient,-18.068360915829334,1.0000965461789486
16,canopy,sensitive,ambient,-19.302273116409737,1.1424673935784238
