hrel,VOC,Campaign,Delta
-23,Isoprene,Ambient,-0.0010592083550559975
-22,Isoprene,Ambient,0.0014969845028598022
-21,Isoprene,Ambient,5.848507812519013e-4
-20,Isoprene,Ambient,5.030185093653008e-4
-19,Isoprene,Ambient,-0.0039637428877329
-18,Isoprene,Ambient,-3.412426972461968e-4
-17,Isoprene,Ambient,2.8958004417019984e-4
-16,Isoprene,Ambient,-0.002157465363891803
-15,Isoprene,Ambient,-0.0013547174614515975
-14,Isoprene,Ambient,-0.0013035951618751984
-1,Isoprene,Ambient,0.007305538089606503
0,Isoprene,Ambient,0.0514874500492076
1,Isoprene,Ambient,0.0442759062159986
2,Isoprene,Ambient,0.0390477628432615
3,Isoprene,Ambient,0.030361015204635494
4,Isoprene,Ambient,0.009667076111417705
5,Isoprene,Ambient,0.0041608750784438014
6,Isoprene,Ambient,0.0018410052413887976
7,Isoprene,Ambient,0.0013798933338003
8,Isoprene,Ambient,0.0031734673097255015
9,Isoprene,Ambient,0.004661337070552704
22,Isoprene,Ambient,0.002217725335713898
23,Isoprene,Ambient,0.0019757938468022984
24,Isoprene,Ambient,1.3068318242429738e-4
25,Isoprene,Ambient,2.2411110060169964e-4
26,Isoprene,Ambient,9.684535725131976e-4
27,Isoprene,Ambient,0.002137276051523397
28,Isoprene,Ambient,8.53271183625201e-4
29,Isoprene,Ambient,-0.0017544360635161002
30,Isoprene,Ambient,-0.0013492047494787981
31,Isoprene,Ambient,1.8434602271549805e-4
32,Isoprene,Ambient,0.0029422182399262004
44,Isoprene,Ambient,NA
45,Isoprene,Ambient,0.002361161322772601
46,Isoprene,Ambient,-0.0010026176142933982
47,Isoprene,Ambient,-7.610315292539971e-4
48,Isoprene,Ambient,-0.0016440129104235979
49,Isoprene,Ambient,0.0015595539495502006
50,Isoprene,Ambient,8.515405534628984e-4
51,Isoprene,Ambient,2.447333771262994e-4
52,Isoprene,Ambient,5.990908441647e-4
53,Isoprene,Ambient,3.9977457425800084e-4
54,Isoprene,Ambient,0.0016110372335502998
55,Isoprene,Ambient,0.0026796113011236036
66,Isoprene,Ambient,NA
67,Isoprene,Ambient,NA
68,Isoprene,Ambient,4.978937678878984e-4
69,Isoprene,Ambient,0.0013041775076216983
70,Isoprene,Ambient,0.0015078316607108969
71,Isoprene,Ambient,-4.1293996239900876e-5
72,Isoprene,Ambient,-2.9378395991597195e-5
73,Isoprene,Ambient,-9.399549816620223e-5
74,Isoprene,Ambient,-5.670750485542025e-4
75,Isoprene,Ambient,3.713876100297983e-4
76,Isoprene,Ambient,4.3507545065379905e-4
77,Isoprene,Ambient,-0.0012634656160906976
78,Isoprene,Ambient,0.001999084799670099
87,Isoprene,Ambient,NA
88,Isoprene,Ambient,NA
89,Isoprene,Ambient,NA
90,Isoprene,Ambient,NA
91,Isoprene,Ambient,-6.698793370176967e-4
-23,Monoterpene,Ambient,-0.002204503534668001
