Doy ,Ratio,SD
267,0.016513091,0.021603355
268,0.154499033,0.061599325
269,0.178086213,0.080151831
270,0.1996898,0.14695008
271,0.158154177,0.084127479
272,0.141353578,0.070666601
273,0.147007348,0.048102284
274,0.164613825,0.055931742
275,,
276,,
277,0.18018725,0.09319418
278,0.170828929,0.057864564
279,0.211756797,0.051131007
280,0.224119798,0.087330687
281,0.214164203,0.091518206
282,0.242028442,0.132341942
283,0.264697927,0.068732679
284,0.258349091,0.076606474
285,0.249638098,0.067152957
286,0.278390816,0.065949823
287,0.273521811,0.10027701
288,,
289,0.325998998,0.077421342
290,0.368096415,0.043613486
291,0.288547466,0.067506698
292,0.395381214,0.206327844
293,0.329715457,0.087037095
294,0.369528462,0.111942557
295,0.452100541,0.087478153
296,0.461716194,0.061138193
297,0.518728481,0.090372877
298,0.577508874,0.05539905
299,0.705151187,0.295832652
300,0.552152845,0.086270001
301,0.612991987,0.082986235
302,0.740687763,0.256162442
303,0.691959032,0.148619911
304,0.657708045,0.1933829
305,0.617411956,0.129879416
306,0.64417474,0.135413105
307,0.52929829,0.094386381
308,0.642588492,0.121120929
309,,
310,0.462954611,0.040759642
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,1.044838427,0.412165693
324,0.947627478,0.169821383
325,0.855168249,0.046583394
326,1.00413569,0.239805858
327,0.834453646,0.221234436
328,,
329,0.731680917,0.252590321
330,1.138754054,0.560263413
331,0.739278597,0.146759333
332,1.182705132,0.222175386
333,1.02547269,0.121907456
334,1.300193342,0.301075864
335,1.251151036,0.153814759
336,1.047201027,0.162269805
337,0.904953204,0.018986926
338,1.003487311,0.293008711
339,1.317537451,0.522810323
340,1.053564522,0.092192593
341,0.946980483,0.248040797
342,1.017336223,0.348874764
343,0.816770231,0.114541663
344,1.014814475,0.141099775
345,1.157594381,0.342836328
346,0.424588064,0.377885151
347,0.444178443,0.170185633
348,0.512660882,0.140142858
349,0.483997085,0.143295492
350,0.558867641,0.273189559
351,0.669538751,0.22367011
352,0.680605217,0.177138704
353,0.431420675,0.224326918
354,0.482312339,0.161692891
355,0.47495762,0.176598096
356,0.480358425,0.234020324
357,0.330189672,0.145921058
358,0.30792768,0.115673466
359,0.452859069,0.20229427
360,0.597071687,0.281616807
361,0.34278039,0.205074149
362,0.36647945,0.146024754
363,0.659134946,0.153506051
364,0.360454343,0.086127387
365,0.451279351,0.109336798
366,0.492107798,0.135737559
367,0.562495858,0.190202451
368,0.469414468,0.15559624
