Date,Group,TWC
9/1/19,Drought-sensitive canopy,68.102706
9/2/19,Drought-sensitive canopy,69.3849047
9/3/19,Drought-sensitive canopy,69.1320145
9/4/19,Drought-sensitive canopy,69.5586325
9/5/19,Drought-sensitive canopy,69.3977832
9/6/19,Drought-sensitive canopy,70.9387808
9/7/19,Drought-sensitive canopy,70.7680772
9/8/19,Drought-sensitive canopy,70.7617012
9/9/19,Drought-sensitive canopy,71.1990787
9/10/19,Drought-sensitive canopy,71.4313106
9/11/19,Drought-sensitive canopy,71.4629473
9/12/19,Drought-sensitive canopy,71.7020899
9/13/19,Drought-sensitive canopy,71.797744
9/14/19,Drought-sensitive canopy,72.2012223
9/15/19,Drought-sensitive canopy,72.1286016
9/16/19,Drought-sensitive canopy,71.8320077
9/17/19,Drought-sensitive canopy,71.251417
9/18/19,Drought-sensitive canopy,70.387651
9/19/19,Drought-sensitive canopy,71.2274722
9/20/19,Drought-sensitive canopy,71.0016788
9/21/19,Drought-sensitive canopy,71.5692493
9/22/19,Drought-sensitive canopy,71.1806933
9/23/19,Drought-sensitive canopy,72.2336469
9/24/19,Drought-sensitive canopy,72.5291184
9/25/19,Drought-sensitive canopy,72.7867432
9/26/19,Drought-sensitive canopy,72.5396902
9/27/19,Drought-sensitive canopy,72.8691669
9/28/19,Drought-sensitive canopy,72.2728248
9/29/19,Drought-sensitive canopy,71.8673044
9/30/19,Drought-sensitive canopy,72.163019
10/1/19,Drought-sensitive canopy,71.9722577
10/2/19,Drought-sensitive canopy,72.3799996
10/3/19,Drought-sensitive canopy,71.936491
10/4/19,Drought-sensitive canopy,72.0730728
10/5/19,Drought-sensitive canopy,71.936887
10/6/19,Drought-sensitive canopy,71.8505734
10/7/19,Drought-sensitive canopy,72.415218
10/8/19,Drought-sensitive canopy,72.3526296
10/9/19,Drought-sensitive canopy,72.3453975
10/10/19,Drought-sensitive canopy,72.1376176
10/11/19,Drought-sensitive canopy,72.311112
10/12/19,Drought-sensitive canopy,71.856564
10/13/19,Drought-sensitive canopy,71.8714651
10/14/19,Drought-sensitive canopy,71.8312937
10/15/19,Drought-sensitive canopy,71.1225611
10/16/19,Drought-sensitive canopy,70.8370852
10/17/19,Drought-sensitive canopy,69.8066188
10/18/19,Drought-sensitive canopy,70.3607337
10/19/19,Drought-sensitive canopy,69.1374184
10/20/19,Drought-sensitive canopy,68.5112982
10/21/19,Drought-sensitive canopy,67.5839696
10/22/19,Drought-sensitive canopy,66.8668436
10/23/19,Drought-sensitive canopy,66.1676019
10/24/19,Drought-sensitive canopy,66.1555219
10/25/19,Drought-sensitive canopy,65.7420943
10/26/19,Drought-sensitive canopy,65.3261639
10/27/19,Drought-sensitive canopy,65.0152218
10/28/19,Drought-sensitive canopy,64.7362899
10/29/19,Drought-sensitive canopy,64.9420277
10/30/19,Drought-sensitive canopy,64.9924269
10/31/19,Drought-sensitive canopy,65.2722786
11/1/19,Drought-sensitive canopy,64.387569
11/2/19,Drought-sensitive canopy,64.8663174
11/3/19,Drought-sensitive canopy,64.5067565
11/4/19,Drought-sensitive canopy,63.772475
11/5/19,Drought-sensitive canopy,63.325155
11/6/19,Drought-sensitive canopy,64.1000101
11/7/19,Drought-sensitive canopy,63.7934233
11/8/19,Drought-sensitive canopy,64.1699854
11/9/19,Drought-sensitive canopy,63.8637443
11/10/19,Drought-sensitive canopy,63.4631527
11/11/19,Drought-sensitive canopy,62.6693262
11/12/19,Drought-sensitive canopy,62.1819302
11/13/19,Drought-sensitive canopy,61.4037766
11/14/19,Drought-sensitive canopy,59.6244256
11/15/19,Drought-sensitive canopy,58.4196773
11/16/19,Drought-sensitive canopy,57.2665788
11/17/19,Drought-sensitive canopy,56.1523201
11/18/19,Drought-sensitive canopy,54.4085808
11/19/19,Drought-sensitive canopy,53.8129811
11/20/19,Drought-sensitive canopy,55.2929301
11/21/19,Drought-sensitive canopy,55.2124601
11/22/19,Drought-sensitive canopy,54.1790348
11/23/19,Drought-sensitive canopy,52.2109075
11/24/19,Drought-sensitive canopy,51.5250487
11/25/19,Drought-sensitive canopy,51.4204509
11/26/19,Drought-sensitive canopy,50.8741005
11/27/19,Drought-sensitive canopy,50.6322823
11/28/19,Drought-sensitive canopy,51.1164896
11/29/19,Drought-sensitive canopy,50.8398687
11/30/19,Drought-sensitive canopy,50.4620954
12/1/19,Drought-sensitive canopy,49.8663041
12/2/19,Drought-sensitive canopy,50.0237764
12/3/19,Drought-sensitive canopy,51.8572625
12/4/19,Drought-sensitive canopy,55.2569484
12/5/19,Drought-sensitive canopy,56.8192935
12/6/19,Drought-sensitive canopy,58.3842467
12/7/19,Drought-sensitive canopy,59.162779
12/8/19,Drought-sensitive canopy,60.6441264
12/9/19,Drought-sensitive canopy,62.4667697
12/10/19,Drought-sensitive canopy,61.6298818
12/11/19,Drought-sensitive canopy,60.048461
12/12/19,Drought-sensitive canopy,59.3259694
12/13/19,Drought-sensitive canopy,61.745681
12/14/19,Drought-sensitive canopy,63.9554529
12/15/19,Drought-sensitive canopy,64.9585828
12/16/19,Drought-sensitive canopy,64.9362106
12/17/19,Drought-sensitive canopy,63.8609994
12/18/19,Drought-sensitive canopy,62.4104636
12/19/19,Drought-sensitive canopy,61.7953194
12/20/19,Drought-sensitive canopy,65.5040767
12/21/19,Drought-sensitive canopy,67.6413675
12/22/19,Drought-sensitive canopy,69.1980572
12/23/19,Drought-sensitive canopy,70.8434234
12/24/19,Drought-sensitive canopy,70.8011425
